Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,4,12. Personal and culinary services,12.05. Culinary arts and related services,"$35,600 ",570
Master's degree,1,50. Visual and performing arts,50.07. Fine arts and art studies,,
Master's degree,1,50. Visual and performing arts,50.09. Music,,
Master's degree,1,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",,
Certificate,5,12. Personal and culinary services,12.03. Funeral service and mortuary science,"$39,000 ",20
Master's degree,1,51. Health professions and related programs,"51.05. Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)",,
Certificate,5,12. Personal and culinary services,12.04. Cosmetology and related personal grooming services,"$27,100 ",40
Master's degree,1,51. Health professions and related programs,51.15. Mental and social health services and allied professions,,
Master's degree,1,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",,
Certificate,5,12. Personal and culinary services,12.05. Culinary arts and related services,"$34,800 ",350
Diploma,5,12. Personal and culinary services,12.05. Culinary arts and related services,"$37,000 ",570
Master's degree,1,51. Health professions and related programs,"51.25. Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,
Diploma,1,13. Education,13.10. Special education and teaching,"$69,400 ",20
Diploma,1,13. Education,13.15. Teaching assistants/aides,"$23,700 ",60
Master's degree,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,,
Master's degree,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,,
Master's degree,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,,
Bachelor's degree,1,13. Education,"13.01. Education, general","$48,000 ",200
Master's degree,1,"52. Business, management, marketing and related support services",52.14. Marketing,,
Master's degree,1,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",,
Bachelor's degree,1,13. Education,13.05. Educational/instructional media design,"$79,400 ",30
Master's degree,1,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Doctoral degree,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Doctoral degree,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,,
Bachelor's degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$50,500 ",4690
Doctoral degree,1,04. Architecture and related services,04.04. Environmental design/architecture,,
Doctoral degree,1,"09. Communication, journalism and related programs",09.01. Communication and media studies,,
Bachelor's degree,1,13. Education,"13.13. Teacher education and professional development, specific subject areas","$51,700 ",2980
Master's degree,1,13. Education,"13.01. Education, general","$100,300 ",320
Doctoral degree,1,13. Education,13.04. Educational administration and supervision,,
Doctoral degree,1,13. Education,13.05. Educational/instructional media design,,
Master's degree,1,13. Education,13.04. Educational administration and supervision,"$97,800 ",160
Master's degree,1,13. Education,13.05. Educational/instructional media design,"$80,200 ",100
Doctoral degree,1,14. Engineering,14.05. Bioengineering and biomedical engineering,,
Master's degree,1,13. Education,"13.06. Educational assessment, evaluation and research","$94,800 ",510
Master's degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$81,100 ",170
Doctoral degree,1,13. Education,"13.01. Education, general","$105,200 ",50
Doctoral degree,1,13. Education,"13.06. Educational assessment, evaluation and research","$98,300 ",50
Doctoral degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$67,100 ",50
Doctoral degree,1,14. Engineering,14.38. Surveying engineering,,
Diploma,2,13. Education,13.10. Special education and teaching,"$65,400 ",30
Doctoral degree,1,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",,
Diploma,2,13. Education,13.15. Teaching assistants/aides,"$27,000 ",40
Bachelor's degree,2,13. Education,"13.01. Education, general","$52,900 ",210
Bachelor's degree,2,13. Education,13.05. Educational/instructional media design,"$78,400 ",30
Doctoral degree,1,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,,
Doctoral degree,1,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,,
Bachelor's degree,2,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$57,100 ",4640
Doctoral degree,1,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology",,
Bachelor's degree,2,13. Education,"13.13. Teacher education and professional development, specific subject areas","$58,800 ",2920
Doctoral degree,1,27. Mathematics and statistics,27.03. Applied mathematics,,
Doctoral degree,1,27. Mathematics and statistics,27.05. Statistics,,
Doctoral degree,1,"28. Military science, leadership and operational art","28.08. Military science, leadership and operational artCAN",,
Doctoral degree,1,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,,
Doctoral degree,1,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Doctoral degree,1,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",,
Master's degree,2,13. Education,"13.01. Education, general","$100,900 ",330
Doctoral degree,1,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",,
Doctoral degree,1,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Master's degree,2,13. Education,13.04. Educational administration and supervision,"$99,000 ",150
Master's degree,2,13. Education,13.05. Educational/instructional media design,"$85,700 ",100
Master's degree,2,13. Education,"13.06. Educational assessment, evaluation and research","$94,300 ",520
Master's degree,2,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$87,300 ",160
Doctoral degree,2,13. Education,"13.01. Education, general","$100,200 ",40
Doctoral degree,2,13. Education,"13.06. Educational assessment, evaluation and research","$98,400 ",30
Diploma,3,13. Education,13.10. Special education and teaching,"$75,100 ",20
Doctoral degree,1,45. Social sciences,45.02. Anthropology,,
Doctoral degree,1,45. Social sciences,45.03. Archaeology,,
Doctoral degree,1,45. Social sciences,45.06. Economics,,
Doctoral degree,1,45. Social sciences,45.07. Geography and cartography,,
Doctoral degree,1,45. Social sciences,45.10. Political science and government,,
Diploma,3,13. Education,13.15. Teaching assistants/aides,"$26,400 ",40
Doctoral degree,1,50. Visual and performing arts,50.09. Music,,
Bachelor's degree,3,13. Education,"13.01. Education, general","$56,600 ",200
Doctoral degree,1,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",,
Bachelor's degree,3,13. Education,"13.02. Bilingual, multilingual and multicultural education","$61,900 ",20
Doctoral degree,1,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Doctoral degree,1,51. Health professions and related programs,"51.25. Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,
Bachelor's degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$61,100 ",4510
Doctoral degree,1,"52. Business, management, marketing and related support services","52.01. Business/commerce, general",,
Doctoral degree,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",,
Bachelor's degree,3,13. Education,"13.13. Teacher education and professional development, specific subject areas","$63,100 ",2830
Certificate,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Master's degree,3,13. Education,"13.01. Education, general","$101,700 ",310
Master's degree,3,13. Education,13.04. Educational administration and supervision,"$100,400 ",150
Master's degree,3,13. Education,13.05. Educational/instructional media design,"$83,000 ",110
Certificate,2,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,,
Master's degree,3,13. Education,"13.06. Educational assessment, evaluation and research","$97,400 ",500
Certificate,2,03. Natural resources and conservation,03.02. Natural resources management and policy,,
Certificate,2,03. Natural resources and conservation,03.05. Forestry,,
Certificate,2,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Certificate,2,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Certificate,2,"09. Communication, journalism and related programs",09.04. Journalism,,
Master's degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$86,900 ",170
Certificate,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",,
Doctoral degree,3,13. Education,"13.01. Education, general","$99,900 ",40
Certificate,2,11. Computer and information sciences and support services,11.07. Computer science,,
Doctoral degree,3,13. Education,"13.06. Educational assessment, evaluation and research","$94,900 ",40
Doctoral degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$91,700 ",40
Diploma,4,13. Education,13.10. Special education and teaching,"$78,100 ",20
Diploma,4,13. Education,13.15. Teaching assistants/aides,"$21,500 ",40
Bachelor's degree,4,13. Education,"13.01. Education, general","$60,900 ",220
Bachelor's degree,4,13. Education,"13.02. Bilingual, multilingual and multicultural education","$63,000 ",30
Certificate,2,13. Education,"13.02. Bilingual, multilingual and multicultural education",,
Certificate,2,13. Education,"13.13. Teacher education and professional development, specific subject areas",,
Certificate,2,13. Education,13.15. Teaching assistants/aides,,
Certificate,2,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,,
Certificate,2,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Bachelor's degree,4,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$63,000 ",4450
Bachelor's degree,4,13. Education,"13.13. Teacher education and professional development, specific subject areas","$65,100 ",2760
Master's degree,4,13. Education,"13.01. Education, general","$102,800 ",310
Master's degree,4,13. Education,13.04. Educational administration and supervision,"$99,100 ",150
Master's degree,4,13. Education,13.05. Educational/instructional media design,"$79,400 ",110
Master's degree,4,13. Education,"13.06. Educational assessment, evaluation and research","$97,300 ",510
Master's degree,4,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$84,000 ",170
Certificate,2,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Certificate,2,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Doctoral degree,4,13. Education,"13.01. Education, general","$100,200 ",40
Doctoral degree,4,13. Education,"13.06. Educational assessment, evaluation and research","$89,400 ",40
Doctoral degree,4,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$88,900 ",50
Diploma,5,13. Education,13.10. Special education and teaching,"$79,900 ",20
Diploma,5,13. Education,13.15. Teaching assistants/aides,"$31,700 ",50
Bachelor's degree,5,13. Education,"13.01. Education, general","$49,800 ",230
Bachelor's degree,5,13. Education,"13.02. Bilingual, multilingual and multicultural education","$71,200 ",20
Certificate,2,44. Public administration and social service professions,"44.00. Human services, general",,
Certificate,2,44. Public administration and social service professions,44.04. Public administration,,
Certificate,2,44. Public administration and social service professions,44.07. Social work,,
Certificate,2,46. Construction trades,"46.00. Construction trades, general",,
Bachelor's degree,5,13. Education,"13.06. Educational assessment, evaluation and research","$90,000 ",30
Bachelor's degree,5,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$62,900 ",4430
Certificate,2,46. Construction trades,"46.04. Building/construction finishing, management and inspection",,
Bachelor's degree,5,13. Education,"13.13. Teacher education and professional development, specific subject areas","$66,800 ",2760
Certificate,2,47. Mechanic and repair technologies/technicians,"47.00. Mechanics and repairers, general",,
Certificate,2,47. Mechanic and repair technologies/technicians,47.01. Electrical/electronics maintenance and repair technology,,
Certificate,2,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Master's degree,5,13. Education,"13.01. Education, general","$100,100 ",320
Master's degree,5,13. Education,13.04. Educational administration and supervision,"$96,300 ",170
Master's degree,5,13. Education,13.05. Educational/instructional media design,"$77,800 ",110
Master's degree,5,13. Education,"13.06. Educational assessment, evaluation and research","$95,700 ",530
Master's degree,5,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$87,300 ",180
Doctoral degree,5,13. Education,"13.01. Education, general","$99,800 ",40
Certificate,2,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",,
Certificate,2,50. Visual and performing arts,"50.02. Crafts/craft design, folk art and artisanry",,
Doctoral degree,5,13. Education,"13.06. Educational assessment, evaluation and research","$78,200 ",50
Certificate,2,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,,
Certificate,2,50. Visual and performing arts,50.06. Film/video and photographic arts,,
Certificate,2,50. Visual and performing arts,50.09. Music,,
Certificate,2,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Doctoral degree,5,13. Education,"13.12. Teacher education and professional development, specific levels and methods","$93,400 ",50
Bachelor's degree,1,14. Engineering,14.05. Bioengineering and biomedical engineering,"$68,100 ",70
Bachelor's degree,1,14. Engineering,14.07. Chemical engineering,"$81,600 ",740
Bachelor's degree,1,14. Engineering,14.08. Civil engineering,"$69,300 ",810
Bachelor's degree,1,14. Engineering,14.09. Computer engineering,"$59,500 ",250
Bachelor's degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering","$70,500 ",700
Certificate,2,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Bachelor's degree,1,14. Engineering,14.12. Engineering physics/applied physics,"$44,000 ",40
Certificate,2,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,,
Bachelor's degree,1,14. Engineering,14.14. Environmental/environmental health engineering,"$69,600 ",120
Bachelor's degree,1,14. Engineering,14.18. Materials engineering,"$74,000 ",150
Certificate,2,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Bachelor's degree,1,14. Engineering,14.19. Mechanical engineering,"$75,700 ",1160
Bachelor's degree,1,14. Engineering,14.21. Mining and mineral engineering,"$91,500 ",130
Bachelor's degree,1,14. Engineering,14.25. Petroleum engineering,"$89,900 ",250
Certificate,2,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Bachelor's degree,1,14. Engineering,14.38. Surveying engineering,"$62,800 ",120
Master's degree,1,14. Engineering,14.07. Chemical engineering,"$89,700 ",130
Master's degree,1,14. Engineering,14.08. Civil engineering,"$81,600 ",370
Certificate,2,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Certificate,2,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,,
Master's degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering","$74,300 ",220
Certificate,2,"52. Business, management, marketing and related support services",52.17. Insurance,,
Master's degree,1,14. Engineering,14.18. Materials engineering,"$85,300 ",60
Certificate,2,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Diploma,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Master's degree,1,14. Engineering,14.19. Mechanical engineering,"$86,900 ",230
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,,
Doctoral degree,1,14. Engineering,14.07. Chemical engineering,"$113,000 ",30
Doctoral degree,1,14. Engineering,14.08. Civil engineering,"$90,400 ",110
Doctoral degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering","$63,400 ",130
Doctoral degree,1,14. Engineering,14.18. Materials engineering,"$83,800 ",70
Doctoral degree,1,14. Engineering,14.19. Mechanical engineering,"$63,700 ",50
Bachelor's degree,2,14. Engineering,14.05. Bioengineering and biomedical engineering,"$76,700 ",70
Bachelor's degree,2,14. Engineering,14.07. Chemical engineering,"$92,100 ",720
Bachelor's degree,2,14. Engineering,14.08. Civil engineering,"$74,900 ",790
Bachelor's degree,2,14. Engineering,14.09. Computer engineering,"$63,700 ",260
Bachelor's degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering","$78,500 ",710
Bachelor's degree,2,14. Engineering,14.12. Engineering physics/applied physics,"$59,100 ",40
Bachelor's degree,2,14. Engineering,14.14. Environmental/environmental health engineering,"$71,300 ",120
Bachelor's degree,2,14. Engineering,14.18. Materials engineering,"$82,200 ",140
Bachelor's degree,2,14. Engineering,14.19. Mechanical engineering,"$85,300 ",1150
Bachelor's degree,2,14. Engineering,14.21. Mining and mineral engineering,"$104,600 ",130
Bachelor's degree,2,14. Engineering,14.25. Petroleum engineering,"$104,200 ",240
Bachelor's degree,2,14. Engineering,14.38. Surveying engineering,"$70,100 ",140
Master's degree,2,14. Engineering,14.07. Chemical engineering,"$99,700 ",110
Master's degree,2,14. Engineering,14.08. Civil engineering,"$85,600 ",370
Master's degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering","$76,100 ",210
Master's degree,2,14. Engineering,14.18. Materials engineering,"$91,000 ",60
Master's degree,2,14. Engineering,14.19. Mechanical engineering,"$92,000 ",220
Doctoral degree,2,14. Engineering,14.07. Chemical engineering,"$133,900 ",20
Doctoral degree,2,14. Engineering,14.08. Civil engineering,"$96,600 ",110
Doctoral degree,2,14. Engineering,"14.10. Electrical, electronics and communications engineering","$70,600 ",130
Doctoral degree,2,14. Engineering,14.18. Materials engineering,"$90,600 ",70
Doctoral degree,2,14. Engineering,14.19. Mechanical engineering,"$65,900 ",50
Bachelor's degree,3,14. Engineering,14.05. Bioengineering and biomedical engineering,"$89,800 ",60
Bachelor's degree,3,14. Engineering,14.07. Chemical engineering,"$96,600 ",700
Bachelor's degree,3,14. Engineering,14.08. Civil engineering,"$78,300 ",780
Bachelor's degree,3,14. Engineering,14.09. Computer engineering,"$68,600 ",250
Bachelor's degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering","$81,900 ",680
Bachelor's degree,3,14. Engineering,14.12. Engineering physics/applied physics,"$52,800 ",40
Bachelor's degree,3,14. Engineering,14.14. Environmental/environmental health engineering,"$78,900 ",110
Bachelor's degree,3,14. Engineering,14.18. Materials engineering,"$87,500 ",130
Bachelor's degree,3,14. Engineering,14.19. Mechanical engineering,"$90,300 ",1130
Diploma,2,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,,
Diploma,2,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Diploma,2,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Bachelor's degree,3,14. Engineering,14.21. Mining and mineral engineering,"$112,700 ",110
Bachelor's degree,3,14. Engineering,14.25. Petroleum engineering,"$109,800 ",230
Bachelor's degree,3,14. Engineering,14.38. Surveying engineering,"$73,600 ",130
Master's degree,3,14. Engineering,14.07. Chemical engineering,"$98,900 ",110
Master's degree,3,14. Engineering,14.08. Civil engineering,"$88,600 ",370
Master's degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering","$81,300 ",220
Master's degree,3,14. Engineering,14.18. Materials engineering,"$92,700 ",50
Master's degree,3,14. Engineering,14.19. Mechanical engineering,"$97,100 ",220
Doctoral degree,3,14. Engineering,14.07. Chemical engineering,"$125,900 ",20
Doctoral degree,3,14. Engineering,14.08. Civil engineering,"$97,700 ",110
Doctoral degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering","$80,100 ",130
Doctoral degree,3,14. Engineering,14.18. Materials engineering,"$91,000 ",60
Diploma,2,44. Public administration and social service professions,"44.00. Human services, general",,
Diploma,2,44. Public administration and social service professions,44.05. Public policy analysis,,
Diploma,2,44. Public administration and social service professions,44.07. Social work,,
Diploma,2,45. Social sciences,45.07. Geography and cartography,,
Diploma,2,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Doctoral degree,3,14. Engineering,14.19. Mechanical engineering,"$75,600 ",40
Diploma,2,47. Mechanic and repair technologies/technicians,47.04. Precision systems maintenance and repair technologies,,
Bachelor's degree,4,14. Engineering,14.05. Bioengineering and biomedical engineering,"$86,300 ",50
Bachelor's degree,4,14. Engineering,14.07. Chemical engineering,"$100,900 ",700
Bachelor's degree,4,14. Engineering,14.08. Civil engineering,"$81,100 ",770
Bachelor's degree,4,14. Engineering,14.09. Computer engineering,"$72,000 ",240
Bachelor's degree,4,14. Engineering,"14.10. Electrical, electronics and communications engineering","$83,600 ",680
Bachelor's degree,4,14. Engineering,14.12. Engineering physics/applied physics,"$74,400 ",40
Bachelor's degree,4,14. Engineering,14.14. Environmental/environmental health engineering,"$78,500 ",110
Bachelor's degree,4,14. Engineering,14.18. Materials engineering,"$90,300 ",140
Bachelor's degree,4,14. Engineering,14.19. Mechanical engineering,"$93,100 ",1140
Diploma,2,50. Visual and performing arts,50.07. Fine arts and art studies,,
Bachelor's degree,4,14. Engineering,14.21. Mining and mineral engineering,"$111,400 ",120
Diploma,2,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Bachelor's degree,4,14. Engineering,14.25. Petroleum engineering,"$109,000 ",220
Bachelor's degree,4,14. Engineering,14.38. Surveying engineering,"$78,100 ",130
Master's degree,4,14. Engineering,14.07. Chemical engineering,"$114,300 ",100
Master's degree,4,14. Engineering,14.08. Civil engineering,"$88,200 ",370
Master's degree,4,14. Engineering,"14.10. Electrical, electronics and communications engineering","$82,300 ",200
Master's degree,4,14. Engineering,14.18. Materials engineering,"$95,500 ",60
Master's degree,4,14. Engineering,14.19. Mechanical engineering,"$96,400 ",220
Doctoral degree,4,14. Engineering,14.07. Chemical engineering,"$128,800 ",20
Doctoral degree,4,14. Engineering,14.08. Civil engineering,"$99,600 ",110
Doctoral degree,4,14. Engineering,"14.10. Electrical, electronics and communications engineering","$80,800 ",120
Doctoral degree,4,14. Engineering,14.18. Materials engineering,"$98,300 ",60
Doctoral degree,4,14. Engineering,14.19. Mechanical engineering,"$82,900 ",40
Bachelor's degree,5,14. Engineering,14.05. Bioengineering and biomedical engineering,"$81,300 ",60
Bachelor's degree,5,14. Engineering,14.07. Chemical engineering,"$103,000 ",680
Bachelor's degree,5,14. Engineering,14.08. Civil engineering,"$84,300 ",760
Bachelor's degree,5,14. Engineering,14.09. Computer engineering,"$75,100 ",240
Diploma,2,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Bachelor's degree,5,14. Engineering,"14.10. Electrical, electronics and communications engineering","$85,400 ",670
Bachelor's degree,5,14. Engineering,14.12. Engineering physics/applied physics,"$71,000 ",30
Bachelor's degree,5,14. Engineering,14.14. Environmental/environmental health engineering,"$82,000 ",110
Diploma,2,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,,
Bachelor's degree,5,14. Engineering,14.18. Materials engineering,"$95,300 ",120
Bachelor's degree,5,14. Engineering,14.19. Mechanical engineering,"$93,600 ",1120
Bachelor's degree,5,14. Engineering,14.21. Mining and mineral engineering,"$114,600 ",110
Diploma,2,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Bachelor's degree,5,14. Engineering,14.25. Petroleum engineering,"$110,000 ",220
Bachelor's degree,5,14. Engineering,14.38. Surveying engineering,"$84,500 ",130
Master's degree,5,14. Engineering,14.07. Chemical engineering,"$105,000 ",110
Diploma,2,54. History,54.01. History,,
Master's degree,5,14. Engineering,14.08. Civil engineering,"$88,200 ",350
Master's degree,5,14. Engineering,"14.10. Electrical, electronics and communications engineering","$81,400 ",190
Master's degree,5,14. Engineering,14.18. Materials engineering,"$94,500 ",50
Master's degree,5,14. Engineering,14.19. Mechanical engineering,"$98,400 ",230
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.10. Food science and technology,,
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,,
Doctoral degree,5,14. Engineering,14.07. Chemical engineering,"$132,700 ",30
Doctoral degree,5,14. Engineering,14.08. Civil engineering,"$103,200 ",100
Bachelor's degree,2,03. Natural resources and conservation,03.05. Forestry,,
Bachelor's degree,2,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Doctoral degree,5,14. Engineering,"14.10. Electrical, electronics and communications engineering","$85,700 ",120
Doctoral degree,5,14. Engineering,14.18. Materials engineering,"$100,200 ",60
Doctoral degree,5,14. Engineering,14.19. Mechanical engineering,"$83,800 ",50
Certificate,1,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,"$52,600 ",20
Certificate,1,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,"$47,800 ",40
Certificate,1,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$59,000 ",180
Certificate,1,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$43,900 ",160
Certificate,1,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$87,200 ",90
Bachelor's degree,2,11. Computer and information sciences and support services,11.04. Information science/studies,,
Certificate,1,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$68,500 ",70
Bachelor's degree,2,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Certificate,1,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$50,400 ",60
Bachelor's degree,2,13. Education,"13.02. Bilingual, multilingual and multicultural education",,
Bachelor's degree,2,13. Education,13.04. Educational administration and supervision,,
Certificate,1,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$56,300 ",110
Bachelor's degree,2,13. Education,"13.06. Educational assessment, evaluation and research",,
Diploma,1,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,"$59,800 ",410
Diploma,1,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,"$59,500 ",600
Bachelor's degree,2,14. Engineering,"14.01. Engineering, general",,
Diploma,1,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,"$66,600 ",640
Diploma,1,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$46,800 ",220
Diploma,1,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,"$68,900 ",50
Diploma,1,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$67,800 ",120
Diploma,1,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,"$55,800 ",400
Diploma,1,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$66,700 ",370
Diploma,1,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,"$63,800 ",210
Diploma,1,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$55,900 ",160
Diploma,1,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$47,500 ",520
Diploma,1,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$49,200 ",470
Diploma,1,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other","$61,000 ",280
Bachelor's degree,2,14. Engineering,14.36. Manufacturing engineering,,
Bachelor's degree,1,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,"$72,500 ",120
Bachelor's degree,2,15. Engineering technologies and engineering-related fields,"15.00. Engineering technology, general",,
Bachelor's degree,2,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Bachelor's degree,2,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,,
Certificate,2,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$63,500 ",170
Certificate,2,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$53,200 ",150
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.03. East Asian languages, literatures and linguistics",,
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.04. Slavic, Baltic and Albanian languages, literatures and linguistics",,
Bachelor's degree,2,"16. Aboriginal and foreign languages, literatures and linguistics","16.05. Germanic languages, literatures and linguistics",,
Certificate,2,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$82,000 ",100
Certificate,2,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$61,200 ",70
Bachelor's degree,2,19. Family and consumer sciences/human sciences,"19.01. Family and consumer sciences/human sciences, general",,
Certificate,2,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$60,000 ",70
Certificate,2,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$58,700 ",110
Bachelor's degree,2,19. Family and consumer sciences/human sciences,19.09. Apparel and textiles,,
Diploma,2,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,"$64,800 ",400
